Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
CD56	-0.0203717061121653	0.13591349919329	446.342431598748	-0.149887290321277	0.880921244685812	fixedIC	0	0.934855198442086	0.934855198442086	NS	3.94438666815404	-1.01422075710959
CD66b	-0.254367675795397	0.231961247918679	459.709969161621	-1.09659556532725	0.273392329761995	fixedIC	0	0.364523106349327	0.364523106349327	NS	0.336982931195558	-1.19281282605028
CD68	0.44379995707284	0.106830801557532	403.519703022693	4.15423221208203	3.98619307724824e-05	fixedIC	0	0.0003509110122191	0.0003509110122191	FDR < 0.05	5.32384698222378	1.36018223756106
CD8	0.336292221804978	0.118523409863267	300.634704415808	2.83734852205938	0.00485823301825882	fixedIC	0	0.0114830962249754	0.0114830962249754	FDR < 0.05	5.44791388861174	1.26250773059016
CD80	0.00282187364249267	0.135540544182184	287.271003975083	0.0208194061748764	0.983404170298003	fixedIC	0	0.989759674284372	0.989759674284372	NS	0.173959572659256	1.00195788792368
CTLA4	0.379609509855566	0.10942967672767	188.60506500262	3.46898136965416	0.000647297492137801	fixedIC	0	0.00210371684944785	0.00210371684944785	FDR < 0.05	0.35881752405591	1.30098967262462
EpCAM	-0.906702941962312	0.199804070171371	398.735292253101	-4.53796031874945	7.52906179221097e-06	fixedIC	0	9.78778032987425e-05	9.78778032987425e-05	FDR < 0.05	21.5253078701679	-1.87475613161841
ER-alpha	0.479615155261614	0.122653508650004	383.034542108551	3.9103256037315	0.000109012083597021	fixedIC	0	0.000615069691759095	0.000615069691759095	FDR < 0.05	0.644498533567882	1.39437166245414
FAP-alpha	0.439328317304838	0.12003516057103	374.419571551306	3.65999691436134	0.000288440675329536	fixedIC	0	0.00107135107979542	0.00107135107979542	FDR < 0.05	0.921782891575578	1.35597287343952
Fibronectin	0.77308495297328	0.199850768137491	226.674122407889	3.86831114124825	0.000143253529747293	fixedIC	0	0.00067719850425993	0.00067719850425993	FDR < 0.05	123.622412066566	1.7089201084302
FOXP3	-0.00113090049213923	0.0880522688097908	364.144169756363	-0.0128435133747909	0.989759674284372	fixedIC	0	0.989759674284372	0.989759674284372	NS	0.443900018426349	-1.00078418780222
GITR	0.0883124048716208	0.111521399524503	243.113795657038	0.79188752336467	0.429198233486626	fixedIC	0	0.519030421890803	0.519030421890803	NS	0.242615792786693	1.06312586142634
GZMB	0.712235442617988	0.105742626239509	376.822923684314	6.73555658627926	6.12061274704605e-11	fixedIC	0	3.18271862846394e-09	3.18271862846394e-09	FDR < 0.05	4.6122743849609	1.63834074519386
Her2	-0.215300707663369	0.12873765025768	470.84023771179	-1.67239892317768	0.0951099959062503	fixedIC	0	0.1648573262375	0.1648573262375	NS	1.33195369930454	-1.16094587053511
HLA-DR	0.238502105683206	0.128321257306885	359.48641564727	1.85863286168417	0.0638962935784747	fixedIC	0	0.11457266434761	0.11457266434761	NS	9.61175941959926	1.17976711887191
ICOS	0.294218965102273	0.112093122485191	257.703628743977	2.62477267631779	0.00918858260198552	fixedIC	0	0.0207741867523151	0.0207741867523151	FDR < 0.05	0.610416559859815	1.22622095566908
IDO1	0.592084694497658	0.175566403927497	441.586017319139	3.37242593829153	0.000810696898406404	fixedIC	0	0.00247977874806665	0.00247977874806665	FDR < 0.05	0.386946418396196	1.50742340138562
Ki-67	0.110103027852432	0.082777048582371	420.90953880191	1.33011540925948	0.184200512507215	fixedIC	0	0.281718430893387	0.281718430893387	NS	3.29852832869635	1.07930531068482
LAG3	0.193521270980769	0.131276465973321	310.363873666531	1.47415052306556	0.141454636108601	fixedIC	0	0.237278744440235	0.237278744440235	NS	0.29362247869799	1.14355144593923
MART1	-0.109709128827346	0.108070007732682	400.36925308552	-1.01516721548423	0.310639203091103	fixedIC	0	0.403830964018434	0.403830964018434	NS	0.417228688675318	-1.07901066818224
NY-ESO-1	0.096649438391652	0.0858867172197068	426.018002559316	1.12531298808887	0.261090001820108	fixedIC	0	0.357281055122254	0.357281055122254	NS	1.13556913456533	1.06928722936584
OX40L	0.319607925662012	0.140623297399973	454.256984247521	2.27279498896229	0.0235048614398283	fixedIC	0	0.0509271997862946	0.0509271997862946	P < 0.05	1.54778355357116	1.24799134216731
PanCk	-0.185560887087309	0.208207505057208	319.947379849289	-0.891230539630756	0.373475225554928	fixedIC	0	0.473675895825762	0.473675895825762	NS	55.6921765707483	-1.1372590277979
PD-1	0.31513354746958	0.100821925044111	355.658351522279	3.12564501552321	0.00192012006306247	fixedIC	0	0.0052550654357499	0.0052550654357499	FDR < 0.05	1.75927925151658	1.24412681436393
PD-L1	0.62521664912488	0.12037293688443	312.208553028399	5.19399680116763	3.72075664199691e-07	fixedIC	0	9.67396726919196e-06	9.67396726919196e-06	FDR < 0.05	0.361500888731145	1.54244243618135
PD-L2	0.266255784492492	0.122542205145204	327.461949559987	2.17276802043016	0.0305144780836638	fixedIC	0	0.0634701144140208	0.0634701144140208	P < 0.05	0.287931243759527	1.20268246114695
PR	-0.0782285150880514	0.107895435261802	417.434561177578	-0.725040080687702	0.468833665077637	fixedIC	0	0.536064465212348	0.536064465212348	NS	0.582029868079207	-1.05572092487725
PTEN	0.119302298476434	0.0937789249324845	453.756554107702	1.27216534591674	0.20396593196152	fixedIC	0	0.303035098914258	0.303035098914258	NS	1.35795182292218	1.08620943391026
S100B	0.135103333230527	0.164213456542599	303.818365612903	0.82272997642845	0.411306824776468	fixedIC	0	0.509237021151817	0.509237021151817	NS	3.44435242534904	1.09817146765248
SMA	0.706911359879078	0.198955728802689	260.65252875173	3.55310884553691	0.000451784437291446	fixedIC	0	0.00156618604927701	0.00156618604927701	FDR < 0.05	377.784386472032	1.63230579929165
STING	0.554400436764983	0.142569520950992	394.171269280655	3.88863224809149	0.000118282633030595	fixedIC	0	0.000615069691759095	0.000615069691759095	FDR < 0.05	8.59884446574576	1.4685581948539
Tim-3	0.229279955719935	0.114887735217386	353.804547267633	1.99568696594202	0.0467343036802221	fixedIC	0	0.0900068070878352	0.0900068070878352	P < 0.05	2.31998110535809	1.17224973727375
VISTA	0.383658421295607	0.128506676869237	426.958588828644	2.9855135207177	0.00299383611579594	fixedIC	0	0.007413308477209	0.007413308477209	FDR < 0.05	2.09964487587358	1.30464601749677
