Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
CD45	0.0568645171028975	0.123570541885723	437.324559014076	0.460178584921035	0.645616752511664	fixedHGD	0	0.809831006310994	0.809831006310994	NS	10.5555121540314	1.04020257693948
CD45RO	-0.0478945477838968	0.0836429925198857	462.960973699013	-0.572606817869532	0.56718891163884	fixedHGD	0	0.737345585130492	0.737345585130492	NS	2.16026293301154	-1.03375517228269
CD56	-0.222110677687807	0.113836498342561	463.098545444685	-1.95113764848443	0.0516432826766109	fixedHGD	0	0.149191705510209	0.149191705510209	NS	3.94438666815404	-1.16643885079414
CD66b	-0.0466340915940984	0.163695757497545	460.208308879279	-0.284882713559622	0.77586215396033	fixedHGD	0	0.858400680977386	0.858400680977386	NS	0.336982931195558	-1.03285239378169
CD68	-0.080340969276658	0.076523416394617	462.378263987429	-1.04988738169183	0.294318318292357	fixedHGD	0	0.463774319733412	0.463774319733412	NS	5.32384698222378	-1.0572678877293
CD8	-0.140675936323853	0.096872281126865	446.499274551401	-1.45217945409608	0.147154032922695	fixedHGD	0	0.306080388479205	0.306080388479205	NS	5.44791388861174	-1.10242150512149
CD80	-0.151454367274117	0.120183182444815	449.560397312057	-1.26019601239684	0.208252396316085	fixedHGD	0	0.373418089946084	0.373418089946084	NS	0.173959572659256	-1.11068858258317
CTLA4	-0.413358697754969	0.0967539505199536	427.796326910147	-4.27226687420605	2.38665589084709e-05	fixedHGD	0	0.000959915782689945	0.000959915782689945	FDR < 0.05	0.35881752405591	-1.33178269365699
EpCAM	-0.185316712441585	0.164298738055989	463.499300035781	-1.12792535496185	0.259934961519956	fixedHGD	0	0.436019935452829	0.436019935452829	NS	21.5253078701679	-1.13706656416955
ER-alpha	-0.156292739376576	0.101985524215378	463.870868777117	-1.53249925005541	0.126080976153259	fixedHGD	0	0.285052641737802	0.285052641737802	NS	0.644498533567882	-1.11441975643373
FAP-alpha	-0.0298916306376123	0.0908574033001387	463.917407785682	-0.328994991622952	0.742307940777682	fixedHGD	0	0.857778064898654	0.857778064898654	NS	0.921782891575578	-1.02093543432449
Fibronectin	-0.409369144398064	0.170431819745393	445.748169058792	-2.40195255210921	0.0167160980877272	fixedHGD	0	0.0869237100561813	0.0869237100561813	P < 0.05	123.622412066566	-1.32810493897892
FOXP3	0.0487445786235175	0.0769673621718401	461.661169908407	0.633314917493062	0.52684161673524	fixedHGD	0	0.70245548898032	0.70245548898032	NS	0.443900018426349	1.03436443666184
GITR	-0.312271223101512	0.097681710589143	435.672282387806	-3.19682386004632	0.00149068194441938	fixedHGD	0	0.0155030922219616	0.0155030922219616	FDR < 0.05	0.242615792786693	-1.24166089876516
GZMB	-0.0433777928853539	0.0578394116023261	450.72604950237	-0.749969470360404	0.453664374449966	fixedHGD	0	0.637582364091844	0.637582364091844	NS	4.6122743849609	-1.03052377750475
Her2	0.0132463981826248	0.0953982116635629	454.531421879852	0.138853736895408	0.889627227097193	fixedHGD	0	0.925212316181081	0.925212316181081	NS	1.33195369930454	1.00922398469817
HLA-DR	0.00849554441869496	0.106735947937907	460.187168169848	0.0795940316531146	0.936594742061612	fixedHGD	0	0.936594742061612	0.936594742061612	NS	9.61175941959926	1.00590603491816
ICOS	-0.172830951641144	0.0934986565344037	445.85140052599	-1.84848593602571	0.065194011800225	fixedHGD	0	0.178425716505879	0.178425716505879	NS	0.610416559859815	-1.12726831629804
IDO1	0.0121014722438309	0.130525236098238	451.223566349062	0.0927136591020828	0.926172194546029	fixedHGD	0	0.936594742061612	0.936594742061612	NS	0.386946418396196	1.00842338006013
Ki-67	0.271127312699904	0.0650732518393729	462.58217176979	4.16649399002152	3.69198377957671e-05	fixedHGD	0	0.000959915782689945	0.000959915782689945	FDR < 0.05	3.29852832869635	1.20675040644827
LAG3	-0.248429558668267	0.106676923975774	453.01778916739	-2.32880316950914	0.02030852609786	fixedHGD	0	0.0880036130907265	0.0880036130907265	P < 0.05	0.29362247869799	-1.18791331149822
MART1	-0.217123366049654	0.0874268001530817	458.713455050382	-2.48348750805791	0.013366483034598	fixedHGD	0	0.0838371703643727	0.0838371703643727	P < 0.05	0.417228688675318	-1.16241350221118
NY-ESO-1	-0.152622340823846	0.0648718197798378	453.330015492387	-2.35267549672286	0.019065421764874	fixedHGD	0	0.0880036130907265	0.0880036130907265	P < 0.05	1.13556913456533	-1.11158813522986
OX40L	-0.0916668531602058	0.111482446510914	462.337943769583	-0.822253691313026	0.411356375410735	fixedHGD	0	0.59418143114884	0.59418143114884	NS	1.54778355357116	-1.06560063937597
PanCk	-0.418270771078782	0.170464978506469	458.567000411252	-2.4537050058227	0.0145102794861414	fixedHGD	0	0.0838371703643727	0.0838371703643727	P < 0.05	55.6921765707483	-1.3363248619311
PD-1	-0.158118107266285	0.0786896969457194	463.158841460846	-2.0093876759413	0.045075653746673	fixedHGD	0	0.146495874676687	0.146495874676687	P < 0.05	1.75927925151658	-1.11583066686533
PD-L1	-0.153130201159284	0.0990122109654723	434.60461077169	-1.54657894885999	0.122692645818619	fixedHGD	0	0.285052641737802	0.285052641737802	NS	0.361500888731145	-1.11197950754531
PD-L2	-0.345322611879908	0.112783953130893	462.595589060846	-3.06180624365186	0.00232820456587565	fixedHGD	0	0.0201777729042557	0.0201777729042557	FDR < 0.05	0.287931243759527	-1.27043504230433
PR	-0.293396852427305	0.0863972516306565	462.841221364435	-3.39590492625345	0.000742962323590999	fixedHGD	0	0.00965851020668299	0.00965851020668299	FDR < 0.05	0.582029868079207	-1.22552239874064
PTEN	-0.149692603723091	0.0694609294484269	450.945930075614	-2.155061916271	0.0316856777987565	fixedHGD	0	0.126742711195026	0.126742711195026	P < 0.05	1.35795182292218	-1.10933308032825
S100B	-0.158427687374003	0.134105472084005	463.96443639745	-1.18136631497604	0.238062422347012	fixedHGD	0	0.412641532068154	0.412641532068154	NS	3.44435242534904	-1.11607013261093
SMA	-0.186401857735352	0.170236569393452	456.10747502047	-1.09495778961886	0.274112994621606	fixedHGD	0	0.44543361626011	0.44543361626011	NS	377.784386472032	-1.13792214802755
STING	0.0491893388386366	0.113079862748563	463.86009108518	0.434996449792398	0.663767313454958	fixedHGD	0	0.809831006310994	0.809831006310994	NS	8.59884446574576	1.03468336412454
Tim-3	-0.199098769358208	0.0956215447124815	463.417749979847	-2.08215386978809	0.0378764576587796	fixedHGD	0	0.136846267422494	0.136846267422494	P < 0.05	2.31998110535809	-1.14798100389835
VISTA	-0.0180206232931778	0.102212527152832	463.900422111379	-0.176305427476935	0.860130937076888	fixedHGD	0	0.912792014857105	0.912792014857105	NS	2.09964487587358	-1.01256928190216
